WARNING 2026-02-11 08:10:04,594 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:04,624 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:04,626 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:04,626 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:04,626 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:10:04,626 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:10:05,217 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:10:05,224 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:05,225 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:05,226 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:10:05,226 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:05,227 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:05,237 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:10:05,238 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:10:05,266 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:05,267 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:05,267 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:10:05,269 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:05,269 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:05,442 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:10:05,444 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:05,445 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:05,447 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:05,448 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:10:05,448 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:05,455 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:10:05,456 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:10:05,487 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:05,488 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:10:05,489 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:05,489 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:05,490 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:05,599 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:10:05,605 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:05,606 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:05,607 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:05,607 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:05,609 log 15168 Not Found: /static/admin/css/login.css
